10001,10,ข้าวบด ไข่แดง-ตำลึง 6-8 เดือน,Egg Yolk Mashed Rice - Gourd 6-8 months
10002,10,ข้าวบด ตับไก่-เต้าหู้ ผักหวาน 6-8 เดือน,"Chicken Liver - Tofu, Phak Wan, Rice 6-8 months"
10003,10,ข้าวบด ปลาทู ฟักทอง 6-8 เดือน,Mackerel Mashed Rice 6-8 months
10004,10,ข้าวต้ม ไข่-ตำลึง 9-11 เดือน,Boiled rice with eggs - gourd salad 9-11 months
10005,10,ข้าวต้ม ปลา-แครอท 9-11 เดือน,Fish-Carrot Porridge 9-11 months
10006,10,ข้าวต้ม หมูสับ-เลือด ผักหวาน 9-11 เดือน,Boiled rice with minced pork - Pakwan blood 9-11 months
10007,10,ข้าวผัดไข่ แกงจืดไก่ ผักหวาน ฟักทอง 12-23 เดือน,"Egg Fried Rice, Clear Soup with Chicken, Vegetable and Pumpkin 12-23 months"
10008,10,ข้าว เต้าหู้อ่อนทอด ต้มเลือดหมู หมูสับ แครอท ตำลึง 12-23 เดือน,"Fried Baby Tofu with Boiled Pork Blood, Minced Pork, Carrot Gourd 12-23 months"
10009,10,ข้าว ปลาทู ไข่น้ำ มันฝรั่ง หัวผักกาด 12-23 เดือน,"Rice, mackerel, egg, potato juice, turnip 12-23 months"
10010,10,ข้าวบดปลาทูใส่ใบตำลึง,Mackerel Mashed Rice with Gourd Leaves
10011,10,ข้าวบดปลาช่อนใส่ฟักทอง,Snakehead Fish Mashed Rice with Pumpkin
10012,10,ข้าวบดเนื้อหมูใส่แครอท,Pork Minced Rice with Carrot
10013,10,ข้าวบดตับไก่ใส่มะเขือเทศ,Chicken Liver Mashed Rice with Tomato
10014,10,ข้าวบดปลานิลใส่ใบผักบุ้ง,Tilapia Ground Rice with Morning Glory Leaves
34001,34,กล้วยไข่ 1 ผลส่วนที่กินได้ 40 กรัม,"Banana (Khai), 1 fruit, 40 g"
34002,34,กล้วยตาก 1 ผล 26 กรัม,"Banana (Nam wa), dried, 1 fruit, 26 g"
34003,34,กล้วยน้ำว้า 1 ผลส่วนที่กินได้ 52 กรัม,"Banana (Nam wa), unripe, 1 fruit, 52 g"
34004,34,กล้วยเล็บมือนาง 1 ผลส่วนที่กินได้ 33 กรัม,"Banana, dwarf / (Lep-mue-nang), 1 fruit, 33 g"
34005,34,กล้วยเล็บมือนาง 2 ผลส่วนที่กินได้ 66 กรัม,"Banana, dwarf / (Lep-mue-nang), 2 fruits, 66 g"
34006,34,กล้วยหอม 1/2 ผลส่วนที่กินได้ 56 กรัม,"Banana (Horm), 0.5 fruit, 56 g"
34007,34,แก้วมังกร 3 ชิ้นพอคำ 55 กรัม,"Dragon fruit, 55 g"
34008,34,แก้วมังกร 6 ชิ้นพอคำ 110 กรัม,"Dragon fruit, 110 g"
34009,34,ขนุน 1 ยวงใหญ่ ส่วนที่กินได้ 28 กรัม,"Jackfruit, mature, 28 g"
34010,34,ขนุน 2 ยวงใหญ่ ส่วนที่กินได้ 56 กรัม,"Jackfruit, mature, 56 g"
34011,34,เงาะ 2 ผล ส่วนที่กินได้ 38 กรัม,"Rambutan, 2 fruits, 38 g"
34012,34,เงาะ 4 ผล ส่วนที่กินได้ 76 กรัม,"Rambutan, 4 fruits, 76 g"
34013,34,ชมพู่ 1 ผลส่วนที่กินได้ 75 กรัม,"Water Rose, green color variety, 1 fruit, 75 g"
34014,34,ชมพู่2 ผลส่วนที่กินได้150 กรัม,"Water Rose, green color variety, 2 fruits, 150 g"
34015,34,แตงโม 3 ชิ้นพอคำ 55 กรัม,"Watermelon, 55 g"
34016,34,แตงโม 6 ชิ้นพอคำ 110 กรัม,"Watermelon, 110 g"
